,2065,2070
1.Population_Grid,34161272.501375884,39721114.53854502
1.Population_SA_Diesel,0,0
1.Population_SA_PV,299517.8403922016,317248.2969745608
1.Population_MG_Diesel,0,0
1.Population_MG_PV,22753163.051441938,22599507.16448475
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,4202000.247019886,4914965.93478532
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,1189.3460642000991,1259.7513820438999
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,506493.4300745231,507690.92061679816
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,9112605.539070832,10658768.007792002
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,363.22051077632136,385.39021479918307
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,176425.2288721915,176700.81662766595
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,26047967739.533237,17285742972.251236
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,2444642.045463477,1471822.6510094122
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,152285424.9427405,86140418.78071675
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
