,2055,2060
1.Population_Grid,25053049.569554806,29350534.259371318
1.Population_SA_Diesel,0,0
1.Population_SA_PV,276335.49903517467,282923.3280963003
1.Population_MG_Diesel,0,0
1.Population_MG_PV,22187634.73331113,22870812.412531074
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,3473219.5533305574,4079440.05431715
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,6434.432407631793,6587.829061174075
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,830365.4610828786,901222.3147172532
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,7532146.092217687,8846817.194178555
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,1964.066930353281,2010.890220328909
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,289832.62559516693,314580.6773301474
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,21536493051.355824,14353315236.029768
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,12064814.23443671,7009105.623672579
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,256521433.46719012,157154238.8865844
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
