,2025,2030
1.Population_Grid,7900651.125451276,10099636.276761748
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,216044.56710807982
1.Population_MG_Diesel,0,0
1.Population_MG_PV,4506408.178482364,15697210.747252647
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,3929081.125451283,2198985.151310472
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,216044.56710807982
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,4506408.178482364,11190802.568768451
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,5596530.578236747,3293348.494300888
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,17644.452564297415
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,419376.21375993366,1200029.8469245776
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,16156233470.674273,6023815347.723407
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,50123757.589105025
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,661670881.4274491,1536853617.681631
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
