,2035,2040
1.Population_Grid,12243646.267149195,14864384.337603625
1.Population_SA_Diesel,0,0
1.Population_SA_PV,230822.13794432333,246610.50145542095
1.Population_MG_Diesel,0,0
1.Population_MG_PV,18391426.228981953,19843005.160939153
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,2144010.0681593367,2620738.070454382
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,14777.570333580323,15788.363511118794
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,2694215.4861814487,1451578.9319568223
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,4649575.648356755,5683424.762817197
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,4510.7532975560025,4819.291072466852
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,943539.9998863104,506557.2927804436
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,13316433950.585415,9231933845.751019
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,15493992.35082629,9393064.52985215
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,1365854124.364689,280181053.8285302
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
