,2065,2070
1.Population_Grid,32975224.80869229,37843827.916928366
1.Population_SA_Diesel,0,0
1.Population_SA_PV,15999.083813638523,35796.4724032356
1.Population_MG_Diesel,0,0
1.Population_MG_PV,24222729.50070391,24758245.61067211
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,4173837.774760589,4817933.8371338975
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,63.53016373617902,142.14309741711202
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,5366186.447871359,605840.6265529157
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,9051531.411127754,10448340.787766842
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,19.59041920363091,44.39776415741885
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,1878357.1283206108,211523.3757056053
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,25873716128.09817,16944193837.583044
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,131852.58280457318,169557.06821750724
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,2469695193.4663267,103114737.66438776
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
