,2035,2040
1.Population_Grid,12243646.267149195,14864384.337603625
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,0
1.Population_MG_Diesel,0,0
1.Population_MG_PV,1571615.6881173651,4002133.2058392335
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,2144010.0681593367,2620738.070454382
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,0
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,1571615.6881173651,2430517.5177218667
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,3227261.3478362057,3954345.57616129
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,0
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,145050.08434838045,226630.2880718733
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,9280394310.293411,6448137082.911184
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,0
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,181738425.16934744,166877683.19688764
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
