,2045,2050
1.Population_Grid,17547163.786056403,20735129.333961334
1.Population_SA_Diesel,0,0
1.Population_SA_PV,0,0
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
2.New_Connections_Grid,2682779.542327784,3187965.5479049147
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,0,0
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
3.Capacity_Grid,1529201.645992551,1821062.3804108687
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,0,0
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
4.Investment_Grid,4480247244.921202,3023750414.1199646
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,0,0
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
